© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	chronic colitis	Chronic colitis	1,13E-02	5,02E-01	 	 	ARHGDIB,CD19,CD53,CD79A,DHRS9,HLA-DMB,HLA-DQA1,HLA-DQB1,IKZF3,LAPTM5,MS4A1,PSMB8,PTPRC,TNF	14
Cell Cycle	ploidy	Ploidy	1,13E-02	5,02E-01	 	1,528	CIB1,CKS2,H3-3A/H3-3B,JAK1,MAD1L1,NME1,PAK2,PARP1,PTPN6,RHOA,TCIRG1,TNF,UGCG,YWHAH	14
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cellular infiltration	Cellular infiltration by granulocytes	1,17E-02	5,02E-01	 	-1,330	ANXA2,CD47,CORO1A,DUSP1,HCK,HMOX1,ILK,ITGB2,MALT1,PARP1,PIKFYVE,PKM,PPIA,PREX1,RAC2,SPI1,TNF,TNFRSF1B,VASP,YBX1,ZDHHC12	21
Cancer,Organismal Injury and Abnormalities,Respiratory Disease	non-small cell lung cancer	Stage I-IV non-small cell lung cancer	1,18E-02	5,02E-01	 	 	ANXA2,EEF1A1,EIF4A1,EIF4E2,FGR,FKBP1A,FTL,IFI30,JAK1,MYL12A,PARP1,PPIA,TMSB10/TMSB4X,TNF,TPT1	15
Cancer,Organismal Injury and Abnormalities	papillary neoplasm	Papillary neoplasm	1,18E-02	5,02E-01	 	 	ACP5,ANXA2,CARD16,CD79A,CXCR4,EEF1B2,FABP5,FGR,FKBP1A,GAPDH,GLRX,HLA-DQA1,HMGA1,IGF2BP3,JAK1,LIMD2,LSM14A,LY6E,PARP1,PEA15,PKM,PTPRC,RAC1,RHOG,S100A11,SYK,TESC,TNFRSF1B,TPI1,TXNIP,VIM	31
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cell rolling	Cell rolling of granulocytes	1,18E-02	5,02E-01	Decreased	-2,138	FGR,GNAI2,HCK,ITGB2,PREX1,RAC2,TLN1,TNF	8
Cellular Movement	invasion	Invasion of colorectal cancer cell lines	1,18E-02	5,02E-01	 	1,086	CD82,CSK,CXCR4,MAP4K1,NME1,PDLIM1,S100A10,TMSB10/TMSB4X	8
Digestive System Development and Function	ingestion	Ingestion by mice	1,18E-02	5,02E-01	 	0,152	GRN,MTSS1,PNOC,PSAP,PTPN1,SCP2,TNF,TNFRSF1B	8
Cell Death and Survival,Embryonic Development	cell death	Cell death of embryonic cells	1,18E-02	5,02E-01	 	-0,116	CAPNS1,H3-3A/H3-3B,HMGA1,MTCH2,NOP53,RAC1,TNF,TPM3	8
Cell Morphology	abnormal morphology	Abnormal morphology of plasma membrane	1,18E-02	5,02E-01	 	 	CFL1,CORO1A,GLRX,HMOX1,HSPA4,PFN1,UGCG,VIM	8
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	systemic juvenile idiopathic arthritis	Systemic juvenile idiopathic arthritis	1,18E-02	5,02E-01	 	 	ATP2B1,DYNLL1,JAK1,MRPS36,RAB1B,SF3B6,TALDO1,TNF	8
Cell Morphology	size	Size of tumor cell lines	1,18E-02	5,02E-01	 	 	CAP1,GOLPH3,HVCN1,ILK,NCOA3,PTPRC,SMARCE1,TNF	8
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cell movement	Cell movement of PBMCs	1,18E-02	5,02E-01	 	-1,611	ANXA2,CD47,CD99,CXCR3,CXCR4,LCP1,PPIA,TNF	8
Cell Morphology,Hematological System Development and Function,Inflammatory Response	morphology	Morphology of macrophages	1,18E-02	5,02E-01	 	 	FGR,GRN,HCK,PLD4,PSAP,RASGRP1,SPI1,TNF	8
Cellular Movement,Embryonic Development	migration	Migration of embryonic cells	1,18E-02	5,02E-01	 	-0,038	CAPNS1,CFL1,CXCR4,GRB2,RAC1,RHOA,TNF,ZEB2	8
Cell-To-Cell Signaling and Interaction	binding	Binding of colorectal cancer cell lines	1,18E-02	5,02E-01	 	-0,615	CD82,CSK,ILK,NME1,PKM,RAC1,S100A10,TNF	8
Cellular Function and Maintenance	engulfment	Engulfment of leukemia cell lines	1,18E-02	5,02E-01	Decreased	-2,646	CD47,HMOX1,PSMD4,RAC1,RHOG,SPI1,TNF,VIM	8
Organismal Injury and Abnormalities,Respiratory Disease	damage	Damage of lung	1,19E-02	5,02E-01	 	-0,464	ANXA2,CXCR3,DDAH2,FKBP1A,FUT8,GAPDH,HLA-DQA1,HMOX1,HSH2D,ITGB2,JAK1,LY6E,PKM,RAC1,RHOA,SERPINB1,SLC44A2,TNF,TSPO,VASP	20
Cancer,Organismal Injury and Abnormalities	cancer	Stage I-II cancer	1,19E-02	5,02E-01	 	 	ANXA2,CYBA,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FTL,GPI,IFI30,MS4A1,MYL12A,NME2,PPIA,PSMB2,TMSB10/TMSB4X,TNF,TPT1,ZEB2	20
Cell-To-Cell Signaling and Interaction	binding	Binding of tumor cell lines	1,19E-02	5,02E-01	Decreased	-2,985	ADD3,ANXA2,CD47,CD68,CD82,CD99,CSK,CXCR3,CXCR4,FLNA,GLRX,GOLPH3,HCK,ILK,ITGAX,ITGB2,LY6E,MAD1L1,MS4A1,NME1,PAK2,PARP1,PARVG,PKM,PREX1,PSMD4,PTPN6,RAC1,RASGRP2,RHOA,S100A10,SPTAN1,TLN1,TNF,YBX1,ZEB2,ZYX	37
Cellular Compromise,Inflammatory Response	degranulation	Degranulation of phagocytes	1,20E-02	5,02E-01	 	-1,855	CORO1A,DUSP1,FGR,HCK,ITGB2,LAT2,PAK2,PTPN22,PTPN6,PTPRC,RAC2,RASGRP1,SYK,TNF,WIPF1,ZEB2	16
Cellular Movement	cell movement	Cell movement of leukemia cell lines	1,20E-02	5,02E-01	Decreased	-2,439	ANXA2,CD47,CD82,CD99,CSK,CXCR4,FLNA,HMGA1,ITGB7,MS4A1,PPIA,RAC1,RASGRP1,RHOA,SYK,TNF	16
Cell Death and Survival,Organismal Injury and Abnormalities	cell viability	Cell viability of mononuclear leukocytes	1,20E-02	5,02E-01	Decreased	-3,193	CD19,CD47,CD79A,CHD4,FCMR,HCK,HSH2D,MALT1,MEF2C,NME1,PTPRC,PYCARD,RAC1,SYK,TNF,TNFRSF1B,TSC22D3,WIPF1,ZEB2	19
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	abnormal bone density	Abnormal bone density	1,21E-02	5,02E-01	Increased	2,324	ACP5,ARL6IP5,CD47,FDFT1,FDPS,GSN,HCK,HCST,IDS,ITGB2,JAK1,RAC1,RHOA,SPI1,TCIRG1,TNF,VCP	17
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cellular infiltration	Infiltration by neutrophils	1,21E-02	5,02E-01	 	-1,526	ANXA2,CORO1A,DUSP1,HMOX1,ILK,ITGB2,MALT1,PARP1,PIKFYVE,PKM,PREX1,RAC2,TNF,TNFRSF1B,VASP,YBX1,ZDHHC12	17
Cellular Compromise,Inflammatory Response	degranulation	Degranulation of myeloid cells	1,21E-02	5,02E-01	 	-1,407	CORO1A,CSK,DUSP1,FGR,HCK,ITGB2,LAT2,PAK2,PTPN22,PTPN6,PTPRC,RAC2,RASGRP1,SYK,TNF,WIPF1,ZEB2	17
Cancer,Organismal Injury and Abnormalities,Tumor Morphology	invasion	Invasion of tumor	1,21E-02	5,02E-01	 	-1,305	ANXA2,CD53,CD82,CIB1,CXCR4,FKBP1A,FLNA,HMOX1,MIEN1,NME1,PARK7,RAC1,RASGRP1,RHOA,RHOG,SYK,VASP,VIM	18
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of lymphatic system cells	1,21E-02	5,02E-01	Decreased	-2,233	ANXA2,CD47,CD99,CIB1,CXCR3,CXCR4,GNAI2,ITGB2,JAK1,MAP4K1,MYO1G,PTPN6,RAC1,RAC2,RAP1B,RASGRP1,RHOA,TNF	18
Cellular Movement,Connective Tissue Development and Function	cell movement	Cell movement of fibroblast cell lines	1,21E-02	5,02E-01	Decreased	-3,162	ACTR2,ARPC2,CSK,FABP5,FLNA,GPI,GRB2,HCK,ILK,MIEN1,MTSS1,PTPN1,RAC1,RAC2,RHOA,RHOG,VCP,VIM	18
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	transmigration	Transmigration of leukocytes	1,21E-02	5,02E-01	Decreased	-3,400	CD47,CD53,CD99,CNN2,CXCR3,CXCR4,FABP5,GNAI2,ITGAX,ITGB2,LSP1,PREX1,PTPN6,RAC1,RAC2,RASGRP2,RHOA,TNF	18
Cellular Movement	invasion	Invasion of prostate cancer cell lines	1,21E-02	5,02E-01	 	-1,816	CD82,CTSH,CXCR3,CXCR4,FABP5,GRN,HHEX,HMOX1,LCP1,NCOA3,NCOA4,RAC1,RHOA,S100A11,SMARCC1,TCIRG1,TNF,VIM	18
Connective Tissue Disorders,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	inflammation	Inflammation of joint	1,22E-02	5,03E-01	 	-1,192	ARHGAP30,ARHGDIB,ATP2B1,CD68,CD79A,CSK,CXCR3,CXCR4,DUSP1,DYNLL1,FDFT1,FDPS,FGR,FKBP1A,FTL,GLUL,GNAI2,GOLPH3,GPI,GRN,GSN,H3-3A/H3-3B,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,ITGB2,ITGB7,JAK1,LBH,LCP1,LY6E,MAP4K1,MAZ,MRPS36,MS4A1,MYL12A,PARP1,POLR2L,PPIA,PPP1R7,PRDX1,PRDX5,PSMB8,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAB1B,RTF2,S100A10,SF3B6,SLC44A2,SUMO1,SYK,TALDO1,TCF4,TCIRG1,TNF,TNFRSF1B,TPI1,TSPO,VIM,WIPF1	69
Tissue Morphology	quantity	Quantity of cells	1,34E-02	5,52E-01	Decreased	-2,750	ADD3,ARHGDIB,ARID3A,ATP2B1,BLOC1S2,CAPNS1,CD19,CD47,CD79A,CD82,CDK2AP1,CIB1,CKS2,CLTA,CNN2,CORO1A,CSK,CXCR3,CXCR4,DBI,DUSP1,DYNLL1,EEA1,FABP5,FCMR,FKBP1A,FLNA,GNAI2,GRN,GSN,HCK,HCST,HLA-DQA1,HLA-DQB1,HMGA1,HMOX1,HVCN1,IKZF3,ILK,ITGB2,ITGB7,JAK1,LITAF,LSP1,MAD1L1,MALT1,MEF2C,MS4A1,MTMR14,MYO1G,NCKAP1L,NEDD8,OGT,PAK2,PARK7,PARP1,PCLAF,PFN1,PIKFYVE,PKM,PLAC8,PLD4,POU2F2,PPIA,PRDX1,PRDX5,PREX1,PSAP,PSMB8,PTPN22,PTPN6,PTPRC,PTPRCAP,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RFTN1,RHOA,RNF141,SCP2,SERPINB1,SIGLEC10,SLC44A2,SMARCE1,SPI1,SPTAN1,SUB1,SUMO1,SYK,SYTL1,TCF4,TCIRG1,TLN1,TNF,TNFRSF1B,TPM3,TPT1,TRAPPC1,TSC22D3,TSPO,TXNIP,UCP2,UGCG,UNC93B1,VASP,VIM,WIPF1,YBX1,ZEB2	111
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	disorder of basal ganglia	Disorder of basal ganglia	1,35E-02	5,54E-01	 	 	ACTB,ANXA2,AP1S2,ARHGDIB,ARL6IP5,ATP2B1,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5MF,ATP5MK,ATP5PB,ATP5PF,CAPNS1,CAPZB,CD68,COX5A,COX5B,CXCR3,DBNL,EEF1A1,FDFT1,FTL,GAPDH,GPI,GRN,H3-3A/H3-3B,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,HSBP1,ITGAX,JAK1,LY6E,MALT1,MEF2C,MT2A,MYL12A,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,NEAT1,NME1,PARK7,PARP1,PDLIM1,PFN1,PKM,PLEK,PPIA,PSAP,PSMB8,RASGRP2,RHOG,S100A10,SAMHD1,SAT1,SEPTIN6,SRM,SUB1,TESC,TNF,TPI1,TPM3,TPT1,TSC22D3,TSPO,UCP2,UGCG,UQCR11,UQCRH,VCP,VIM	77
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	activation	Activation of leukocytes	1,42E-02	5,78E-01	 	-0,551	ANXA2,CD19,CD47,CD79A,CLEC2D,CORO1A,CSK,CTSH,CXCR3,DUSP1,FKBP1A,FUT8,GRN,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,HSH2D,HSPA4,HVCN1,IGF2BP3,ITGB2,LAPTM5,LAT2,MALT1,MEF2C,MS4A1,PAK2,PARK7,PARP1,PPIA,PRDX1,PREX1,PSAP,PSMB8,PTPN22,PTPN6,PTPRC,PYCARD,RASGRP1,RHOA,SIGLEC10,SYK,TCIRG1,TLN1,TNF,TNFRSF1B,TPT1,TRAPPC1,TXNIP,UNC93B1,VSIR	56
Cell Death and Survival,Organismal Injury and Abnormalities	cell death	Cell death of tumor cell lines	1,43E-02	5,81E-01	Increased	2,427	ANXA2,ATP2B1,ATP5F1A,BLOC1S2,BTG1,CAPNS1,CD47,CD82,CD99,CIB1,CKS2,CNN2,COX5A,CUX1,CXCR3,CXCR4,CYBA,DENR,DUSP1,DYNLL1,EEA1,EEF1A1,EEF1B2,EIF4A1,EMP3,FCMR,FDFT1,FGR,FKBP1A,GAPDH,GLRX,GPI,GRN,GSN,HCK,HCST,HLA-DQB1,HMGA1,HMOX1,HSH2D,HSPA4,IGF2BP3,ILK,JAK1,LAPTM5,LSP1,MAD1L1,MAP4K1,MAZ,MEF2A,MEF2C,MRPL52,MS4A1,MT2A,MTSS1,NAA38,NCOA3,NCOA4,NME1,NME2,OAZ1,OGT,PAK2,PARK7,PARP1,PEA15,PKM,PPIA,PPP1CA,PRDX1,PSMA5,PSMD4,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RHOA,RNF141,S100A11,SAMHD1,SAT1,SLC25A5,SMARCC1,SMARCE1,SNRPD1,SPI1,SRPK2,SUMO1,SYK,TAGLN2,TCF4,TERF2IP,TESC,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TPT1,TSC22D3,UBE2L3,UCP2,UGCG,VCP,VDAC1,YBX1,YWHAE,YWHAH,ZEB2	110
Cellular Assembly and Organization	assembly	Assembly of organelle	1,43E-02	5,81E-01	Decreased	-3,155	ACTB,ACTG1,ACTR2,ACTR3,ANXA2,ARPC2,BRK1,CFL1,CHMP2A,CHMP4A,CORO1A,DYNLL1,FLNA,GDI2,GLUL,GNAI2,GNG5,GOLPH3,GPI,GRB2,GSN,HCK,LITAF,MTSS1,NCKAP1L,NDUFAB1,PAK2,PFDN5,PFN1,PIKFYVE,PREX1,PYCARD,RAB1B,RAC1,RHOA,S100A10,SEPTIN7,SNX3,SSNA1,TCIRG1,TMED5,TNF,TPM3,TWF2,UCP2,VASP,VCP,VDAC1,VIM,VPS25,WASF2,ZYX	52
Cellular Development,Cellular Growth and Proliferation	colony formation	Colony formation of breast cancer cell lines	1,46E-02	5,81E-01	 	-1,440	ANXA2,CD82,CKS2,EIF4A1,GRN,ILK,LY6E,NCOA3,PKM	9
Cellular Movement	cell movement	Cell movement of stem cells	1,46E-02	5,81E-01	 	-0,863	CFL1,CXCR4,MTCH2,PFN1,PTPN6,PTPRC,TCIRG1,TLN1,TNF	9
Molecular Transport,Nucleic Acid Metabolism,Small Molecule Biochemistry	quantity	Quantity of cyclic nucleotides	1,46E-02	5,81E-01	 	-0,756	ANXA4,CD47,CXCR4,GNAI2,PTPN22,PTPN6,PTPRC,RAC1,TNF	9
Hematological System Development and Function,Humoral Immune Response,Lymphoid Tissue Structure and Development,Tissue Morphology	quantity	Quantity of B-1a lymphocytes	1,46E-02	5,81E-01	 	-0,781	ARID3A,ATP2B1,CD19,CD79A,FCMR,PTPN6,RAC2,SIGLEC10,SPI1	9
Cellular Movement,Hematological System Development and Function,Humoral Immune Response,Immune Cell Trafficking	migration	Migration of B lymphocytes	1,46E-02	5,81E-01	 	-1,812	COMMD8,CXCR3,CXCR4,GNAI2,LCP1,MYO1G,RAP1B,TNF,TNFRSF1B	9
Cellular Movement	chemotaxis	Chemotaxis of blood cells	1,47E-02	5,81E-01	Decreased	-2,386	CD47,CORO1A,CUX1,CXCR3,CXCR4,DUSP1,FGR,GNAI2,GRN,GSN,HCK,ITGB2,LCP1,LITAF,LSP1,NCKAP1L,PFN1,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,PTPRC,RAC1,RAC2,RHOA,SERPINB1,SPI1,SUMO1,SYK,TMSB10/TMSB4X,TNF,WIPF1	33
Cell Death and Survival,Organismal Injury and Abnormalities	cell viability	Cell viability of leukocytes	1,47E-02	5,81E-01	Decreased	-3,095	CD19,CD47,CD79A,CHD4,CXCR4,FCMR,HCK,HSH2D,ITGB2,JAK1,LAT2,MALT1,MEF2C,NME1,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,SYK,TNF,TNFRSF1B,TSC22D3,WIPF1,ZEB2	26
Cancer,Organismal Injury and Abnormalities	papillary adenocarcinoma	Papillary adenocarcinoma	1,47E-02	5,81E-01	 	 	ACP5,ANXA2,CARD16,CD79A,CXCR4,EEF1B2,FGR,FKBP1A,GAPDH,HLA-DQA1,HMGA1,IGF2BP3,JAK1,LIMD2,LSM14A,LY6E,PARP1,PKM,PTPRC,RAC1,S100A11,SYK,TESC,TPI1,TXNIP,VIM	26
Neurological Disease,Organismal Injury and Abnormalities	progressive encephalopathy	Progressive encephalopathy	1,51E-02	5,90E-01	 	 	ACTB,ANXA2,AP1S2,ARHGDIB,ARL6IP5,ATP5F1A,ATP5PB,CALM1 (includes others),CAPZB,CD68,CFL1,CHI3L2,CIB1,CXCR4,DBI,DBNL,DECR1,EEF1A1,EIF4A1,FDFT1,FDPS,FTL,GAPDH,GLRX,GRN,GSN,H3-3A/H3-3B,HLA-DQA1,HLA-DQB1,HLA-DRA,HMGA1,HMOX1,JPT1,LY6E,MEF2C,NDUFV2,NEAT1,OGT,PARK7,PARP15,PFN1,PPIA,PRDX1,PREX1,PSAP,RHOA,S100A10,SCP2,SRPK2,TNF,TPT1,TSPO,VCP,VDAC1,VIM	55
Cancer,Organismal Injury and Abnormalities	extracranial solid tumor	Advanced extracranial solid tumor	1,51E-02	5,90E-01	 	0,574	ANXA2,CARD16,CD47,CXCR3,CXCR4,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FLNA,FTL,GLRX,GLUL,HMGA1,HMOX1,IFI30,JAK1,LIMD2,MS4A1,MYL12A,NCOA3,NEDD8,PARP1,PDLIM1,PPIA,PSMB2,PTPRC,RAC1,RHOA,S100A11,TMSB10/TMSB4X,TNF,TPT1,TXNIP,YWHAE,ZEB2	38
Cell-To-Cell Signaling and Interaction,Cellular Movement	recruitment	Recruitment of cells	1,55E-02	5,98E-01	Decreased	-2,586	CD19,CD47,CD53,CNN2,CXCR3,CXCR4,FABP5,FGR,FUT8,GLRX,GSN,HCK,HMOX1,ITGB2,ITGB7,LSP1,PARP1,PREX1,PYCARD,RAC1,RAP1B,RASGRP2,RHOA,RHOG,SYK,TNF,TNFRSF1B,TPT1,UCP2,VASP,VIM,ZDHHC12	32
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	recruitment	Recruitment of phagocytes	1,60E-02	5,98E-01	Decreased	-2,263	CD19,CD47,CD53,CNN2,CXCR4,FGR,FUT8,GLRX,GSN,HCK,ITGB2,ITGB7,LSP1,PARP1,PREX1,PYCARD,RAC1,RAP1B,RASGRP2,RHOA,TNF,TNFRSF1B,UCP2,ZDHHC12	24
Cellular Assembly and Organization,Organismal Development,Tissue Development	formation	Formation of filaments	1,63E-02	5,98E-01	Decreased	-2,984	ACTB,ACTG1,ARPC2,BRK1,CFL1,CORO1A,DYNLL1,GNAI2,GNG5,GPI,GRB2,GSN,HCK,MTSS1,NCKAP1L,PAK2,PFDN5,PFN1,PREX1,PYCARD,RAC1,RHOA,S100A10,SSNA1,TNF,TPM3,TWF2,VASP,VIM,WASF2,ZYX	31
Cell-To-Cell Signaling and Interaction,Cellular Movement	recruitment	Recruitment of blood cells	1,63E-02	5,98E-01	Decreased	-2,647	CD19,CD47,CD53,CNN2,CXCR3,CXCR4,FABP5,FGR,FUT8,GLRX,GSN,HCK,HMOX1,ITGB2,ITGB7,LSP1,PARP1,PREX1,PYCARD,RAC1,RAP1B,RASGRP2,RHOA,RHOG,SYK,TNF,TNFRSF1B,TPT1,UCP2,VASP,ZDHHC12	31
Cell-To-Cell Signaling and Interaction	response	Response of myeloid leukocytes	1,67E-02	5,98E-01	Decreased	-2,439	CD47,FGR,GLRX,GRN,HCK,ITGAX,ITGB2,PARK7,SYK,TNF	10
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	brain damage	Brain damage	1,67E-02	5,98E-01	 	-0,174	ADD3,CD47,FDPS,GSN,HMOX1,PARK7,PARP1,PYCARD,TSPO,UCP2	10
Cellular Movement	migration	Migration of leukemia cell lines	1,67E-02	5,98E-01	Decreased	-2,397	CD47,CD99,CXCR4,FLNA,MS4A1,RAC1,RASGRP1,RHOA,SYK,TNF	10
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	transmigration	Transmigration of granulocytes	1,67E-02	5,98E-01	Decreased	-2,370	CD47,CD99,CNN2,GNAI2,ITGB2,LSP1,PREX1,PTPN6,RASGRP2,TNF	10
Gene Expression	expression	Expression of RNA	1,67E-02	5,98E-01	Decreased	-3,181	ACTG1,ACTR2,ACTR3,ANXA2,ANXA4,ARID3A,BTG1,CD19,CD47,CD82,CDK2AP1,CHD4,CKS2,CNN2,CTSH,CUX1,CXCR3,CXCR4,DDX17,EIF4E2,ELOB,FGR,FLNA,FUT8,GAPDH,GRN,GSN,GTF2A2,GTF3C6,H1-2,HHEX,HMGA1,HOPX,HSBP1,IGF2BP3,IKZF3,ILK,ITGAX,JAK1,LAMTOR5,LBH,LITAF,LSM14A,MAD1L1,MALT1,MAZ,MEF2A,MEF2C,MRPL51,MTCH2,NCOA3,NCOA4,NEDD8,NME1,NME2,NOP53,OGT,PAK2,PARK7,PARP1,PARP15,PDLIM1,PEA15,PFDN5,PFN1,PLAC8,PNOC,POLR2E,POLR2G,POLR2L,POU2F2,PPP1CA,PTPN22,PTPN6,PTPRC,RAC1,RASGRP1,RHOA,RHOG,RNF141,S100A10,SLC44A2,SMARCC1,SMARCE1,SPI1,SRA1,SRPK2,SUB1,SUMO1,SUMO2,SUPT4H1,SYK,TAF10,TCF4,TCIRG1,TERF2IP,TESC,TLE1,TLE5,TNF,TNFRSF1B,TSC22D3,TXNIP,UBE2L3,VIM,VSIR,YBX1,YWHAH,ZBTB32,ZEB2	110
Molecular Transport	transport	Transport of molecule	1,71E-02	5,98E-01	 	-1,349	ANXA2,AP1S2,ARF5,ARL6IP5,ATP2A3,ATP2B1,ATP5F1B,ATP6V0D1,CLIC1,CORO1A,CYB561A3,DESI1,FABP5,FLNA,FTL,GLUL,GNAI2,GOLPH3,GRN,GSN,HHEX,HMGA1,HMOX1,HVCN1,ILK,LAPTM5,LY6E,MEF2A,MEF2C,MS4A1,MT2A,NCOA4,NME2,PARP1,PEA15,PKM,POU2F2,PPIA,PSAP,PTPN1,PTPN22,PTPRC,PYCARD,RABEP1,RAC1,RAC2,RHOA,SAMM50,SCP2,SLC38A1,SLC44A2,SNX3,SUMO1,SYK,SYTL1,TCIRG1,THOC7,TIMM13,TNF,TNFRSF1B,TPT1,TSPO,TXNIP,UCP2,UNC93B1,VDAC1,YBX1,YWHAB,YWHAE,YWHAH	70
Cancer,Neurological Disease,Organismal Injury and Abnormalities	glioblastoma cancer	Glioblastoma	1,72E-02	5,98E-01	 	 	CD47,CD99,CHMP2A,CKS2,CLEC2D,CSRP1,CXCR4,FGR,FLNA,H1-2,H3-3A/H3-3B,HLA-DQA1,HMGA1,IDS,IFI30,JAK1,LY6E,MAZ,NAA50,NEAT1,PARK7,PARP1,PCLAF,PKM,RAC1,RHOG,SMARCC1,TNF,TNFRSF1B,ZEB2	30
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cellular infiltration	Cellular infiltration by phagocytes	1,72E-02	5,98E-01	 	-1,720	ANXA2,CORO1A,DUSP1,HMOX1,ILK,ITGB2,MALT1,PARP1,PIKFYVE,PKM,PPIA,PREX1,PSMB8,PTPN1,PTPN6,RAC2,S100A10,TNF,TNFRSF1B,VASP,YBX1,ZDHHC12	22
Cell Death and Survival,Organismal Injury and Abnormalities	apoptosis	Apoptosis of tumor cell lines	1,75E-02	5,98E-01	Increased	2,175	ANXA2,CAPNS1,CD47,CD82,CD99,CIB1,CKS2,CNN2,COX5A,CUX1,CXCR3,CXCR4,DENR,DUSP1,DYNLL1,EEA1,EEF1A1,EEF1B2,EIF4A1,EMP3,FCMR,FGR,FKBP1A,GAPDH,GLRX,GRN,GSN,HCK,HCST,HLA-DQB1,HMGA1,HMOX1,HSH2D,HSPA4,IGF2BP3,ILK,JAK1,LAPTM5,LSP1,MAD1L1,MAP4K1,MEF2A,MEF2C,MRPL52,MS4A1,MT2A,MTSS1,NCOA3,NCOA4,NME1,NME2,OGT,PAK2,PARK7,PARP1,PEA15,PKM,PPIA,PPP1CA,PRDX1,PSMA5,PSMD4,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RHOA,RNF141,S100A11,SAMHD1,SAT1,SLC25A5,SMARCC1,SMARCE1,SNRPD1,SPI1,SRPK2,SYK,TAGLN2,TCF4,TERF2IP,TESC,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TPT1,TSC22D3,UGCG,VCP,VDAC1,YBX1,YWHAE,ZEB2	96
Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization	cell-cell contact	Cell-cell contact	1,77E-02	5,98E-01	Decreased	-2,731	ACTG1,ACTR2,ACTR3,CAPZB,CD47,CD53,CD99,CORO1A,CSK,CXCR3,CXCR4,DBNL,GOLPH3,GPI,GRN,H3-3A/H3-3B,HOPX,HSPA4,ITGB2,LY6E,MEF2C,MTMR14,NME1,OGT,PAK2,PFN1,PTPRC,RAC1,RHOA,SELENOW,SPTAN1,SYK,TALDO1,TLN1,TNF,UCP2,VDAC1,VIM,ZEB2,ZYX	40
Cellular Movement	chemotaxis	Chemotaxis	1,77E-02	5,98E-01	Decreased	-2,485	ANXA2,CD47,CORO1A,CSK,CUX1,CXCR3,CXCR4,DUSP1,FGR,GLRX,GNAI2,GRB2,GRN,GSN,HCK,ILK,ITGB2,LCP1,LITAF,LSP1,MTSS1,NCKAP1L,PFN1,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,PTPRC,RAC1,RAC2,RHOA,RHOG,SERPINB1,SPI1,SUMO1,SYK,TMSB10/TMSB4X,TNF,WIPF1	40
Cell Death and Survival	cell viability	Cell viability of breast cancer cell lines	1,78E-02	5,98E-01	 	-1,925	ANXA2,DUSP1,EIF4A1,FGR,HHEX,HMGA1,IGF2BP3,ILK,MRPL52,NEAT1,PARP1,PKM,PREX1,PSMB8,PYCARD,RHOA,SNRPD1,SYK,TNF,UGCG,YBX1	21
